"site","habitat","treatment","plot","sampling_unit","year","date","variable_type","variable_name","level","observation","units","comments","author_code","sampling_unit_new"
"toledo","scrub","hyper",25,10,2021,NA,"soil","apparent_density",NA,0.726254138018844,"AD(g/cm3)",NA,NA,"toledo/scrub/hyper/25/10"
"toledo","scrub","hyper",25,20,2021,NA,"soil","apparent_density",NA,1.29177489177489,"AD(g/cm3)",NA,NA,"toledo/scrub/hyper/25/20"
"toledo","scrub","control",53,0,2021,NA,"soil","apparent_density",NA,0.88148714031067,"AD(g/cm3)",NA,NA,"toledo/scrub/control/53/0"
"toledo","scrub","control",53,10,2021,NA,"soil","apparent_density",NA,1.12380952380952,"AD(g/cm3)",NA,NA,"toledo/scrub/control/53/10"
"toledo","scrub","control",53,30,2021,NA,"soil","apparent_density",NA,1.14682964094729,"AD(g/cm3)",NA,NA,"toledo/scrub/control/53/30"
"toledo","scrub","control",54,0,2021,NA,"soil","apparent_density",NA,1.56322892793481,"AD(g/cm3)",NA,NA,"toledo/scrub/control/54/0"
"toledo","scrub","control",54,10,2021,NA,"soil","apparent_density",NA,1.14132925897632,"AD(g/cm3)",NA,NA,"toledo/scrub/control/54/10"
"toledo","scrub","control",54,30,2021,NA,"soil","apparent_density",NA,1.48877005347594,"AD(g/cm3)",NA,NA,"toledo/scrub/control/54/30"
"toledo","scrub","high",56,0,2021,NA,"soil","apparent_density",NA,0.837178507766743,"AD(g/cm3)",NA,NA,"toledo/scrub/high/56/0"
"toledo","scrub","high",56,10,2021,NA,"soil","apparent_density",NA,1.10404889228419,"AD(g/cm3)",NA,NA,"toledo/scrub/high/56/10"
"toledo","scrub","high",56,20,2021,NA,"soil","apparent_density",NA,0.97825311942959,"AD(g/cm3)",NA,NA,"toledo/scrub/high/56/20"
"toledo","scrub","high",57,0,2021,NA,"soil","apparent_density",NA,0.605958747135218,"AD(g/cm3)",NA,NA,"toledo/scrub/high/57/0"
"toledo","scrub","high",57,10,2021,NA,"soil","apparent_density",NA,0.694983447924624,"AD(g/cm3)",NA,NA,"toledo/scrub/high/57/10"
"toledo","scrub","high",57,20,2021,NA,"soil","apparent_density",NA,1.19959256429845,"AD(g/cm3)",NA,NA,"toledo/scrub/high/57/20"
"toledo","scrub","high",59,0,2021,NA,"soil","apparent_density",NA,1.15976572447161,"AD(g/cm3)",NA,NA,"toledo/scrub/high/59/0"
"toledo","scrub","high",59,10,2021,NA,"soil","apparent_density",NA,1.11270690094219,"AD(g/cm3)",NA,NA,"toledo/scrub/high/59/10"
"toledo","scrub","high",59,20,2021,NA,"soil","apparent_density",NA,1.17015533486122,"AD(g/cm3)",NA,NA,"toledo/scrub/high/59/20"
"toledo","forest","control",6,0,2021,NA,"soil","apparent_density",NA,1.00137509549274,"AD(g/cm3)",NA,NA,"toledo/forest/control/6/0"
"toledo","forest","control",6,10,2021,NA,"soil","apparent_density",NA,1.08072319837026,"AD(g/cm3)",NA,NA,"toledo/forest/control/6/10"
"toledo","forest","control",6,20,2021,NA,"soil","apparent_density",NA,1.14652406417112,"AD(g/cm3)",NA,NA,"toledo/forest/control/6/20"
"toledo","scrub","control",65,0,2021,NA,"soil","apparent_density",NA,0.784008148714031,"AD(g/cm3)",NA,NA,"toledo/scrub/control/65/0"
"toledo","scrub","control",65,10,2021,NA,"soil","apparent_density",NA,0.917952635599694,"AD(g/cm3)",NA,NA,"toledo/scrub/control/65/10"
"toledo","scrub","control",65,20,2021,NA,"soil","apparent_density",NA,1.14764451235039,"AD(g/cm3)",NA,NA,"toledo/scrub/control/65/20"
"toledo","forest","control",8,0,2021,NA,"soil","apparent_density",NA,0.781156098803158,"AD(g/cm3)",NA,NA,"toledo/forest/control/8/0"
"toledo","forest","control",8,10,2021,NA,"soil","apparent_density",NA,1.15141329258976,"AD(g/cm3)",NA,NA,"toledo/forest/control/8/10"
"toledo","forest","control",8,20,2021,NA,"soil","apparent_density",NA,0.84166030048383,"AD(g/cm3)",NA,NA,"toledo/forest/control/8/20"
