"site","habitat","treatment","plot","sampling_unit","year","date","variable_type","variable_name","level","observation","units","comments","author_code","sampling_unit_new"
"valencia","scrub","hyper",3,20,2022,NA,"soil","apparent_density",NA,1.06951871657754,"AD(g/cm3)",NA,NA,"valencia/scrub/hyper/3/20"
"valencia","scrub","hyper",4,20,2022,NA,"soil","apparent_density",NA,1.24471606824548,"AD(g/cm3)",NA,NA,"valencia/scrub/hyper/4/20"
"valencia","scrub","hyper",3,10,2022,NA,"soil","apparent_density",NA,1.2131398013751,"AD(g/cm3)",NA,NA,"valencia/scrub/hyper/3/10"
"valencia","scrub","hyper",3,0,2022,NA,"soil","apparent_density",NA,1.30175706646295,"AD(g/cm3)",NA,NA,"valencia/scrub/hyper/3/0"
"valencia","scrub","hyper",2,0,2022,NA,"soil","apparent_density",NA,1.59001782531194,"AD(g/cm3)",NA,NA,"valencia/scrub/hyper/2/0"
"valencia","scrub","hyper",4,0,2022,NA,"soil","apparent_density",NA,1.30990578049402,"AD(g/cm3)",NA,NA,"valencia/scrub/hyper/4/0"
"valencia","scrub","hyper",1,0,2022,NA,"soil","apparent_density",NA,1.39750445632799,"AD(g/cm3)",NA,NA,"valencia/scrub/hyper/1/0"
"valencia","scrub","hyper",4,10,2022,NA,"soil","apparent_density",NA,1.42195059842119,"AD(g/cm3)",NA,NA,"valencia/scrub/hyper/4/10"
"valencia","scrub","hyper",2,10,2022,NA,"soil","apparent_density",NA,1.51260504201681,"AD(g/cm3)",NA,NA,"valencia/scrub/hyper/2/10"
"toledo","forest","control",10,0,2022,NA,"soil","apparent_density",NA,1.43162719633308,"AD(g/cm3)",NA,NA,"toledo/forest/control/10/0"
"toledo","forest","control",10,10,2022,NA,"soil","apparent_density",NA,1.23249299719888,"AD(g/cm3)",NA,NA,"toledo/forest/control/10/10"
"toledo","forest","control",10,20,2022,NA,"soil","apparent_density",NA,1.2384008148714,"AD(g/cm3)",NA,NA,"toledo/forest/control/10/20"
"toledo","forest","high",12,0,2022,NA,"soil","apparent_density",NA,0.958594346829641,"AD(g/cm3)",NA,NA,"toledo/forest/high/12/0"
"toledo","forest","high",12,10,2022,NA,"soil","apparent_density",NA,0.996180290297937,"AD(g/cm3)",NA,NA,"toledo/forest/high/12/10"
"toledo","forest","high",12,20,2022,NA,"soil","apparent_density",NA,1.20580595874714,"AD(g/cm3)",NA,NA,"toledo/forest/high/12/20"
"toledo","forest","high",13,0,2022,NA,"soil","apparent_density",NA,0.910211357270181,"AD(g/cm3)",NA,NA,"toledo/forest/high/13/0"
"toledo","forest","high",13,10,2022,NA,"soil","apparent_density",NA,0.85510567863509,"AD(g/cm3)",NA,NA,"toledo/forest/high/13/10"
"toledo","forest","high",13,20,2022,NA,"soil","apparent_density",NA,0.924573465749936,"AD(g/cm3)",NA,NA,"toledo/forest/high/13/20"
"toledo","forest","high",14,0,2022,NA,"soil","apparent_density",NA,0.833409727527375,"AD(g/cm3)",NA,NA,"toledo/forest/high/14/0"
"toledo","forest","high",14,10,2022,NA,"soil","apparent_density",NA,0.950853068500127,"AD(g/cm3)",NA,NA,"toledo/forest/high/14/10"
"toledo","forest","high",14,20,2022,NA,"soil","apparent_density",NA,0.985994397759104,"AD(g/cm3)",NA,NA,"toledo/forest/high/14/20"
"toledo","forest","hyper",16,0,2022,NA,"soil","apparent_density",NA,0.673491214667685,"AD(g/cm3)",NA,NA,"toledo/forest/hyper/16/0"
"toledo","forest","hyper",16,10,2022,NA,"soil","apparent_density",NA,0.78838808250573,"AD(g/cm3)",NA,NA,"toledo/forest/hyper/16/10"
"toledo","forest","hyper",16,20,2022,NA,"soil","apparent_density",NA,0.942806213394449,"AD(g/cm3)",NA,NA,"toledo/forest/hyper/16/20"
