"site","habitat","treatment","plot","sampling_unit","year","date","variable_type","variable_name","level","valor","units","comments","author_code"
"toledo",NA,"hyper",NA,NA,2021,NA,"Cistus_ladanifer","clorofila","new_leave",31.697,NA,NA,"58CL"
"toledo",NA,"hyper",NA,NA,2021,NA,"Cistus_ladanifer","antocianina","new_leave",0.188,NA,NA,"58CL"
"toledo",NA,"hyper",NA,NA,2021,NA,"Cistus_ladanifer","clorofila","old_leave",43.343,NA,NA,"59CL"
"toledo",NA,"hyper",NA,NA,2021,NA,"Cistus_ladanifer","antocianina","old_leave",0.186,NA,NA,"59CL"
"toledo",NA,"hyper",NA,NA,2021,NA,"Cistus_ladanifer","clorofila","new_leave",31.415,NA,NA,"59CL"
"toledo",NA,"hyper",NA,NA,2021,NA,"Cistus_ladanifer","antocianina","new_leave",0.177,NA,NA,"59CL"
"toledo",NA,"hyper",NA,NA,2021,NA,"Cistus_ladanifer","clorofila","old_leave",42.994,NA,NA,"53CL"
"toledo",NA,"hyper",NA,NA,2021,NA,"Cistus_ladanifer","antocianina","old_leave",0.187,NA,NA,"53CL"
"toledo",NA,"hyper",NA,NA,2021,NA,"Cistus_ladanifer","clorofila","new_leave",38.4,NA,NA,"53CL"
"toledo",NA,"hyper",NA,NA,2021,NA,"Cistus_ladanifer","antocianina","new_leave",0.152,NA,NA,"53CL"
"toledo",NA,"hyper",NA,NA,2021,NA,"Cistus_ladanifer","clorofila","old_leave",36.675,NA,NA,"52CL"
"toledo",NA,"hyper",NA,NA,2021,NA,"Cistus_ladanifer","antocianina","old_leave",0.245,NA,NA,"52CL"
"toledo",NA,"hyper",NA,NA,2021,NA,"Cistus_ladanifer","clorofila","new_leave",29.572,NA,NA,"52CL"
"toledo",NA,"hyper",NA,NA,2021,NA,"Cistus_ladanifer","antocianina","new_leave",0.162,NA,NA,"52CL"
"toledo",NA,"hyper",NA,NA,2021,NA,"Cistus_ladanifer","clorofila","old_leave",38.507,NA,NA,"48CL"
"toledo",NA,"hyper",NA,NA,2021,NA,"Cistus_ladanifer","antocianina","old_leave",0.195,NA,NA,"48CL"
"toledo",NA,"hyper",NA,NA,2021,NA,"Cistus_ladanifer","clorofila","new_leave",25.438,NA,NA,"48CL"
"toledo",NA,"hyper",NA,NA,2021,NA,"Cistus_ladanifer","antocianina","new_leave",0.184,NA,NA,"48CL"
"toledo",NA,"hyper",NA,NA,2021,NA,"Cistus_ladanifer","clorofila","old_leave",47.544,NA,NA,"44CL"
"toledo",NA,"hyper",NA,NA,2021,NA,"Cistus_ladanifer","antocianina","old_leave",0.218,NA,NA,"44CL"
"toledo",NA,"hyper",NA,NA,2021,NA,"Cistus_ladanifer","clorofila","new_leave",40.819,NA,NA,"44CL"
"toledo",NA,"hyper",NA,NA,2021,NA,"Cistus_ladanifer","antocianina","new_leave",0.146,NA,NA,"44CL"
"toledo",NA,"hyper",NA,NA,2021,NA,"Cistus_ladanifer","clorofila","old_leave",35.825,NA,NA,"31CL"
"toledo",NA,"hyper",NA,NA,2021,NA,"Cistus_ladanifer","antocianina","old_leave",0.15,NA,NA,"31CL"
"toledo",NA,"hyper",NA,NA,2021,NA,"Cistus_ladanifer","clorofila","new_leave",38.4,NA,NA,"31CL"
"toledo",NA,"hyper",NA,NA,2021,NA,"Cistus_ladanifer","antocianina","new_leave",0.152,NA,NA,"31CL"
