"site","habitat","treatment","plot","sampling_unit","year","date","variable_type","variable_name","level","observation","units","comments","author_code"
"toledo",NA,"hyper",NA,"82","2022","2022_06_07","fuego","FMC","quercus_ilex",64.08,"Fuel Moisture Content (%)",NA,NA
"toledo",NA,"hyper",NA,"82","2022","2022_06_07","fuego","PHRR","quercus_ilex",97.6975504395315,"Peak of Heat Release Rate (KW/m²)",NA,NA
"toledo",NA,"hyper",NA,"82","2022","2022_06_07","fuego","TTI","quercus_ilex",162,"Time to Ignition (s)",NA,NA
"toledo",NA,"hyper",NA,"82","2022","2022_06_07","fuego","mean_HRR","quercus_ilex",42.8184000711558,"Heat Release Ratio (KW/m²)",NA,NA
"toledo",NA,"hyper",NA,"82","2022","2022_06_07","fuego","AEHC","quercus_ilex",6.09766095828924,"Average Effective Heat of Combustion (MJ/kg)",NA,NA
"toledo",NA,"hyper",NA,"82","2022","2022_06_07","fuego","THR","quercus_ilex",6.9383136468118,"Total Heat Release (MJ/m²)",NA,NA
"toledo",NA,"hyper",NA,"82","2022","2022_06_07","fuego","mean_MLR","quercus_ilex",0.0706190434670782,"Mass Lost Rate (g/s)",NA,NA
"toledo",NA,"hyper",NA,"160","2022","2022_06_07","fuego","FMC","quercus_ilex",96.6,"Fuel Moisture Content (%)",NA,NA
"toledo",NA,"hyper",NA,"160","2022","2022_06_07","fuego","PHRR","quercus_ilex",107.232345277975,"Peak of Heat Release Rate (KW/m²)",NA,NA
"toledo",NA,"hyper",NA,"160","2022","2022_06_07","fuego","TTI","quercus_ilex",54,"Time to Ignition (s)",NA,NA
"toledo",NA,"hyper",NA,"160","2022","2022_06_07","fuego","mean_HRR","quercus_ilex",77.6377039968777,"Heat Release Ratio (KW/m²)",NA,NA
"toledo",NA,"hyper",NA,"160","2022","2022_06_07","fuego","AEHC","quercus_ilex",4.92893584717961,"Average Effective Heat of Combustion (MJ/kg)",NA,NA
"toledo",NA,"hyper",NA,"160","2022","2022_06_07","fuego","THR","quercus_ilex",4.1924360158314,"Total Heat Release (MJ/m²)",NA,NA
"toledo",NA,"hyper",NA,"160","2022","2022_06_07","fuego","mean_MLR","quercus_ilex",0.159392132716049,"Mass Lost Rate (g/s)",NA,NA
"toledo",NA,"hyper",NA,"154","2022","2022_06_07","fuego","FMC","quercus_ilex",93.13,"Fuel Moisture Content (%)",NA,NA
"toledo",NA,"hyper",NA,"154","2022","2022_06_07","fuego","PHRR","quercus_ilex",35.3443285526747,"Peak of Heat Release Rate (KW/m²)",NA,NA
"toledo",NA,"hyper",NA,"154","2022","2022_06_07","fuego","TTI","quercus_ilex",7,"Time to Ignition (s)",NA,NA
"toledo",NA,"hyper",NA,"154","2022","2022_06_07","fuego","mean_HRR","quercus_ilex",32.2417127785568,"Heat Release Ratio (KW/m²)",NA,NA
"toledo",NA,"hyper",NA,"154","2022","2022_06_07","fuego","AEHC","quercus_ilex",3.48481018845043,"Average Effective Heat of Combustion (MJ/kg)",NA,NA
"toledo",NA,"hyper",NA,"154","2022","2022_06_07","fuego","THR","quercus_ilex",0.225691989449898,"Total Heat Release (MJ/m²)",NA,NA
"toledo",NA,"hyper",NA,"154","2022","2022_06_07","fuego","mean_MLR","quercus_ilex",0.0808758154761904,"Mass Lost Rate (g/s)",NA,NA
"toledo",NA,"hyper",NA,"157","2022","2022_06_07","fuego","FMC","quercus_ilex",90.6,"Fuel Moisture Content (%)",NA,NA
"toledo",NA,"hyper",NA,"157","2022","2022_06_07","fuego","PHRR","quercus_ilex",39.194547283218,"Peak of Heat Release Rate (KW/m²)",NA,NA
"toledo",NA,"hyper",NA,"157","2022","2022_06_07","fuego","TTI","quercus_ilex",NA,"Time to Ignition (s)",NA,NA
"toledo",NA,"hyper",NA,"157","2022","2022_06_07","fuego","mean_HRR","quercus_ilex",13.94616806,"Heat Release Ratio (KW/m²)",NA,NA
"toledo",NA,"hyper",NA,"157","2022","2022_06_07","fuego","AEHC","quercus_ilex",2.33490681989147,"Average Effective Heat of Combustion (MJ/kg)",NA,NA
"toledo",NA,"hyper",NA,"157","2022","2022_06_07","fuego","THR","quercus_ilex",4.45353363607344,"Total Heat Release (MJ/m²)",NA,NA
"toledo",NA,"hyper",NA,"157","2022","2022_06_07","fuego","mean_MLR","quercus_ilex",0.0601246995833333,"Mass Lost Rate (g/s)",NA,NA
"toledo",NA,"hyper",NA,"155","2022","2022_06_07","fuego","FMC","quercus_ilex",86.05,"Fuel Moisture Content (%)",NA,NA
"toledo",NA,"hyper",NA,"155","2022","2022_06_07","fuego","PHRR","quercus_ilex",52.1594945884205,"Peak of Heat Release Rate (KW/m²)",NA,NA
"toledo",NA,"hyper",NA,"155","2022","2022_06_07","fuego","TTI","quercus_ilex",37,"Time to Ignition (s)",NA,NA
"toledo",NA,"hyper",NA,"155","2022","2022_06_07","fuego","mean_HRR","quercus_ilex",33.7932558561783,"Heat Release Ratio (KW/m²)",NA,NA
"toledo",NA,"hyper",NA,"155","2022","2022_06_07","fuego","AEHC","quercus_ilex",2.65095016928453,"Average Effective Heat of Combustion (MJ/kg)",NA,NA
"toledo",NA,"hyper",NA,"155","2022","2022_06_07","fuego","THR","quercus_ilex",2.12909119623782,"Total Heat Release (MJ/m²)",NA,NA
"toledo",NA,"hyper",NA,"155","2022","2022_06_07","fuego","mean_MLR","quercus_ilex",0.127348490643448,"Mass Lost Rate (g/s)",NA,NA
"toledo",NA,"high",NA,"274","2022","2022_06_07","fuego","FMC","cistus_ladanifer",101,"Fuel Moisture Content (%)",NA,NA
"toledo",NA,"high",NA,"274","2022","2022_06_07","fuego","PHRR","cistus_ladanifer",147.756592795174,"Peak of Heat Release Rate (KW/m²)",NA,NA
"toledo",NA,"high",NA,"274","2022","2022_06_07","fuego","TTI","cistus_ladanifer",70,"Time to Ignition (s)",NA,NA
"toledo",NA,"high",NA,"274","2022","2022_06_07","fuego","mean_HRR","cistus_ladanifer",101.70565780455,"Heat Release Ratio (KW/m²)",NA,NA
"toledo",NA,"high",NA,"274","2022","2022_06_07","fuego","AEHC","cistus_ladanifer",10.6888979266561,"Average Effective Heat of Combustion (MJ/kg)",NA,NA
"toledo",NA,"high",NA,"274","2022","2022_06_07","fuego","THR","cistus_ladanifer",7.1193960463185,"Total Heat Release (MJ/m²)",NA,NA
"toledo",NA,"high",NA,"274","2022","2022_06_07","fuego","mean_MLR","cistus_ladanifer",0.0947556767857143,"Mass Lost Rate (g/s)",NA,NA
"toledo",NA,"high",NA,"273","2022","2022_06_07","fuego","FMC","cistus_ladanifer",108.3,"Fuel Moisture Content (%)",NA,NA
"toledo",NA,"high",NA,"273","2022","2022_06_07","fuego","PHRR","cistus_ladanifer",90.2745862988616,"Peak of Heat Release Rate (KW/m²)",NA,NA
"toledo",NA,"high",NA,"273","2022","2022_06_07","fuego","TTI","cistus_ladanifer",41,"Time to Ignition (s)",NA,NA
"toledo",NA,"high",NA,"273","2022","2022_06_07","fuego","mean_HRR","cistus_ladanifer",65.952121093221,"Heat Release Ratio (KW/m²)",NA,NA
"toledo",NA,"high",NA,"273","2022","2022_06_07","fuego","AEHC","cistus_ladanifer",5.09248401731826,"Average Effective Heat of Combustion (MJ/kg)",NA,NA
"toledo",NA,"high",NA,"273","2022","2022_06_07","fuego","THR","cistus_ladanifer",2.0924823433211,"Total Heat Release (MJ/m²)",NA,NA
"toledo",NA,"high",NA,"273","2022","2022_06_07","fuego","mean_MLR","cistus_ladanifer",0.129904429918699,"Mass Lost Rate (g/s)",NA,NA
"toledo",NA,"high",NA,"184","2022","2022_06_07","fuego","FMC","cistus_ladanifer",119.6,"Fuel Moisture Content (%)",NA,NA
"toledo",NA,"high",NA,"184","2022","2022_06_07","fuego","PHRR","cistus_ladanifer",108.059460681468,"Peak of Heat Release Rate (KW/m²)",NA,NA
"toledo",NA,"high",NA,"184","2022","2022_06_07","fuego","TTI","cistus_ladanifer",31,"Time to Ignition (s)",NA,NA
"toledo",NA,"high",NA,"184","2022","2022_06_07","fuego","mean_HRR","cistus_ladanifer",70.4617965911398,"Heat Release Ratio (KW/m²)",NA,NA
"toledo",NA,"high",NA,"184","2022","2022_06_07","fuego","AEHC","cistus_ladanifer",4.81456082700907,"Average Effective Heat of Combustion (MJ/kg)",NA,NA
"toledo",NA,"high",NA,"184","2022","2022_06_07","fuego","THR","cistus_ladanifer",2.18431569432533,"Total Heat Release (MJ/m²)",NA,NA
"toledo",NA,"high",NA,"184","2022","2022_06_07","fuego","mean_MLR","cistus_ladanifer",0.149117204301075,"Mass Lost Rate (g/s)",NA,NA
"toledo",NA,"high",NA,"172","2022","2022_06_07","fuego","FMC","cistus_ladanifer",127.5,"Fuel Moisture Content (%)",NA,NA
"toledo",NA,"high",NA,"172","2022","2022_06_07","fuego","PHRR","cistus_ladanifer",93.1052899017775,"Peak of Heat Release Rate (KW/m²)",NA,NA
"toledo",NA,"high",NA,"172","2022","2022_06_07","fuego","TTI","cistus_ladanifer",67,"Time to Ignition (s)",NA,NA
"toledo",NA,"high",NA,"172","2022","2022_06_07","fuego","mean_HRR","cistus_ladanifer",61.4790330573765,"Heat Release Ratio (KW/m²)",NA,NA
"toledo",NA,"high",NA,"172","2022","2022_06_07","fuego","AEHC","cistus_ladanifer",8.25369155069999,"Average Effective Heat of Combustion (MJ/kg)",NA,NA
"toledo",NA,"high",NA,"172","2022","2022_06_07","fuego","THR","cistus_ladanifer",3.40302316336727,"Total Heat Release (MJ/m²)",NA,NA
"toledo",NA,"high",NA,"172","2022","2022_06_07","fuego","mean_MLR","cistus_ladanifer",0.0965107277310256,"Mass Lost Rate (g/s)",NA,NA
"toledo",NA,"high",NA,"289","2022","2022_06_07","fuego","FMC","cistus_ladanifer",147,"Fuel Moisture Content (%)",NA,NA
"toledo",NA,"high",NA,"289","2022","2022_06_07","fuego","PHRR","cistus_ladanifer",99.2566189968801,"Peak of Heat Release Rate (KW/m²)",NA,NA
"toledo",NA,"high",NA,"289","2022","2022_06_07","fuego","TTI","cistus_ladanifer",34,"Time to Ignition (s)",NA,NA
"toledo",NA,"high",NA,"289","2022","2022_06_07","fuego","mean_HRR","cistus_ladanifer",65.4259214483519,"Heat Release Ratio (KW/m²)",NA,NA
"toledo",NA,"high",NA,"289","2022","2022_06_07","fuego","AEHC","cistus_ladanifer",4.43349716878772,"Average Effective Heat of Combustion (MJ/kg)",NA,NA
"toledo",NA,"high",NA,"289","2022","2022_06_07","fuego","THR","cistus_ladanifer",2.60535230811417,"Total Heat Release (MJ/m²)",NA,NA
"toledo",NA,"high",NA,"289","2022","2022_06_07","fuego","mean_MLR","cistus_ladanifer",0.148301444335512,"Mass Lost Rate (g/s)",NA,NA
"toledo",NA,"high",NA,"336","2022","2022_06_07","fuego","FMC","quercus_ilex",91.9,"Fuel Moisture Content (%)",NA,NA
"toledo",NA,"high",NA,"336","2022","2022_06_07","fuego","PHRR","quercus_ilex",127.90744164525,"Peak of Heat Release Rate (KW/m²)",NA,NA
"toledo",NA,"high",NA,"336","2022","2022_06_07","fuego","TTI","quercus_ilex",16,"Time to Ignition (s)",NA,NA
"toledo",NA,"high",NA,"336","2022","2022_06_07","fuego","mean_HRR","quercus_ilex",97.5632725541923,"Heat Release Ratio (KW/m²)",NA,NA
"toledo",NA,"high",NA,"336","2022","2022_06_07","fuego","AEHC","quercus_ilex",4.42173049714212,"Average Effective Heat of Combustion (MJ/kg)",NA,NA
