"Cercado.x" "ID" "OLD_Chl" "OLD_Chl_sd" "OLD_Flav" "OLD_Flav_sd" "OLD_Anth" "OLD_Anth_sd" "OLD_NBI" "OLD_NBI_sd" "NEW_Chl" "NEW_Chl_sd" "NEW_Flav" "NEW_Flav_sd" "NEW_Anth" "NEW_Anth_sd" "NEW_NBI" "NEW_NBI_sd" "Year" "Full_ID" "Specie"
"27" "B" "273CL" "41.575" "4.059" "1.874" "0.181" "0.227" "0.035" "22.386" "3.389" 35.022 "7.815" "1.712" "0.031" "0.169" "0.004" "20.459" "4.603" "2021" "21_QM_B_273CL" "CL"
"28" "B" "274CL" "32.566" "4.869" "2.011" "0.31" "0.248" "0.073" "16.343" "2.112" 25.813 "13.224" "1.687" "0.309" "0.182" "0.022" "14.326" "6.791" "2021" "21_QM_B_274CL" "CL"
"29" "B" "279CL" "37.481" "5.121" "2.006" "0.096" "0.203" "0.055" "18.775" "3.202" 21.539 "12.472" "1.691" "0.342" "0.217" "0.04" "11.972" "7.146" "2021" "21_QM_B_279CL" "CL"
"30" "B" "292CL" "42.528" "3.73" "1.699" "0.096" "0.173" "0.053" "25.057" "2.087" 37.104 "4.061" "1.735" "0.107" "0.172" "0.012" "21.468" "2.839" "2021" "21_QM_B_292CL" "CL"
"31" "B" "289CL" "40.098" "5.061" "1.897" "0.04" "0.182" "0.02" "21.163" "2.832" 34.834 "8.974" "1.821" "0.069" "0.163" "0.025" "19.296" "5.599" "2021" "21_QM_B_289CL" "CL"
"32" "C" "362CL" "45.779" "3.706" "1.777" "0.091" "0.197" "0.037" "25.887" "3.152" 35.063 "14.001" "1.851" "0.035" "0.185" "0.028" "19.03" "7.778" "2021" "21_QM_C_362CL" "CL"
"33" "C" "268CL" "35.974" "1.993" "1.752" "0.078" "0.209" "0.029" "20.597" "1.919" 22.628 "6.578" "1.743" "0.126" "0.232" "0.054" "12.845" "3.035" "2021" "21_QM_C_268CL" "CL"
"34" "C" "352CL" "46.88" "2.202" "1.901" "0.186" "0.176" "0.04" "24.948" "3.663" 30.242 "4.784" "1.791" "0.095" "0.17" "0.025" "16.89" "2.58" "2021" "21_QM_C_352CL" "CL"
"35" "A" "119CL" "42.18" "1.56" "1.974" "0.088" "0.168" "0.029" "21.407" "1.303" 29.958 "5.602" "1.756" "0.07" "0.178" "0.034" "17.02" "2.893" "2021" "21_QM_A_119CL" "CL"
"36" "C" "260CL" "28.37" "4.706" "1.812" "0.098" "0.269" "0.085" "15.642" "2.352" 31.347 "11.008" "1.67" "0.172" "0.183" "0.048" "18.475" "5.955" "2021" "21_QM_C_260CL" "CL"
"37" "C" "259CL" "32.084" "3.407" "1.968" "0.049" "0.223" "0.026" "16.33" "1.995" 20.875 "9.629" "1.767" "0.372" "0.212" "0.034" "11.241" "4.319" "2021" "21_QM_C_259CL" "CL"
"38" "C" "350CL" "44.107" "7.346" "2.038" "0.082" "0.169" "0.027" "21.718" "3.931" 37.387 "2.845" "1.901" "0.045" "0.157" "0.029" "19.695" "1.777" "2021" "21_QM_C_350CL" "CL"
"39" "C" "249CL" "41.701" "1.403" "1.851" "0.128" "0.149" "0.026" "22.595" "1.476" 34.338 "3.05" "1.788" "0.082" "0.164" "0.007" "19.172" "0.89" "2021" "21_QM_C_249CL" "CL"
"40" "C" "253CL" "36.575" "4.284" "1.921" "0.156" "0.157" "0.024" "19.025" "1.531" 29.595 "7.669" "1.818" "0.083" "0.156" "0.025" "16.152" "3.645" "2021" "21_QM_C_253CL" "CL"
"41" "C" "255CL" "30.343" "6.497" "2.063" "0.104" "0.279" "0.14" "14.843" "3.667" 20.693 "4.098" "1.675" "0.206" "0.176" "0.014" "12.425" "2.355" "2021" "21_QM_C_255CL" "CL"
"42" "C" "256CL" "40.517" "2.982" "1.922" "0.088" "0.164" "0.024" "21.126" "1.928" 28.28 "10.353" "1.847" "0.106" "0.136" "0.027" "15.203" "5.406" "2021" "21_QM_C_256CL" "CL"
