"Cercado.x" "ID" "OLD_Chl" "OLD_Chl_sd" "OLD_Flav" "OLD_Flav_sd" "OLD_Anth" "OLD_Anth_sd" "OLD_NBI" "OLD_NBI_sd" "NEW_Chl" "NEW_Chl_sd" "NEW_Flav" "NEW_Flav_sd" "NEW_Anth" "NEW_Anth_sd" "NEW_NBI" "NEW_NBI_sd" "Year" "Full_ID" "Specie"
"119" "B" "193QI" "52.271" "1.753" "1.918" "0.027" "0.182" "0.015" "27.251" "0.641" 49.708 "3.764" "1.875" "0.057" "0.157" "0.011" "26.531" "2.112" "2021" "21_QM_B_193QI" "QI"
"120" "B" "194QI" "40.208" "2.109" "2.116" "0.18" "0.204" "0.017" "19.156" "2.395" 29.251 "1.539" "1.973" "0.053" "0.231" "0.012" "14.835" "0.829" "2021" "21_QM_B_194QI" "QI"
"121" "B" "336QI" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "2021" "21_QM_B_336QI" "QI"
"122" "A" "131CL" "29.431" "6.121" "1.855" "0.05" "0.368" "0.05" "15.906" "3.562" 34.53 "1.138" "1.65" "0.029" "0.241" "0.022" "20.92" "0.328" "2022" "22_QM_A_131CL" "CL"
"123" "A" "129QI" "38.149" "0.687" "1.605" "0.098" "0.175" "0.003" "23.816" "1.244" 15.118 "0.369" "1.318" "0.01" "0.691" "0.186" "11.472" "0.369" "2022" "22_QM_A_129QI" "QI"
"124" "A" "141CL" "19.655" "0.623" "1.721" "0.052" "0.425" "0.047" "11.434" "0.676" 28.993 "2.407" "1.718" "0.111" "0.281" "0.014" "16.97" "2.355" "2022" "22_QM_A_141CL" "CL"
"125" "A" "142QI" "31.924" "6.123" "1.663" "0.155" "0.259" "0.052" "19.123" "2.43" 19.84 "0.732" "1.894" "0.137" "0.354" "0.023" "10.49" "0.371" "2022" "22_QM_A_142QI" "QI"
"126" "A" "148QI" "27.612" "3.746" "1.685" "0.173" "0.288" "0.071" "16.707" "3.876" 13.728 "1.701" "1.763" "0.088" "0.557" "0.094" "7.782" "0.839" "2022" "22_QM_A_148QI" "QI"
"127" "B" "289CL" "35.659" "2.225" "1.844" "0.069" "0.271" "0.028" "19.559" "0.489" 32.262 "1.261" "1.618" "0.026" "0.257" "0.024" "19.934" "0.67" "2022" "22_QM_B_289CL" "CL"
"128" "A" "121CL" "35.71" "4.451" "1.769" "0.092" "0.297" "0.023" "20.32" "3.437" 30.935 "1.504" "1.632" "0.005" "0.24" "0.022" "18.955" "0.946" "2022" "22_QM_A_121CL" "CL"
"129" "A" "119CL" "37.586" "3.549" "1.805" "0.117" "0.283" "0.02" "20.873" "2.092" 32.285 "2.83" "1.677" "0.046" "0.25" "0.028" "19.289" "2.164" "2022" "22_QM_A_119CL" "CL"
"130" "A" "123CL" "34.404" "4.398" "1.659" "0.151" "0.273" "0.031" "20.789" "2.456" 28.656 "5.983" "1.673" "0.013" "0.266" "0.035" "17.143" "3.67" "2022" "22_QM_A_123CL" "CL"
"131" "A" "115QI" "29.917" "1.925" "1.76" "0.073" "0.316" "0.03" "16.998" "0.778" NA NA NA NA NA NA NA NA "2022" "22_QM_A_115QI" "QI"
"132" "A" "5CL" "25.258" "5.333" "1.852" "0.081" "0.342" "0.038" "13.898" "3.552" 22.196 "9.296" "1.594" "0.128" "0.287" "0.02" "13.627" "5.144" "2022" "22_QM_A_5CL" "CL"
"133" "A" "3CL" "33.897" "2.635" "1.733" "0.077" "0.29" "0.016" "19.824" "2.226" 25.908 "2.735" "1.661" "0.019" "0.263" "0.017" "15.604" "1.695" "2022" "22_QM_A_3CL" "CL"
"134" "A" "97QI" "23.593" "1.624" "1.665" "0.105" "0.259" "0.039" "14.199" "1.093" 15.135 "1.045" "1.213" "0.137" "0.351" "0.014" "12.513" "0.557" "2022" "22_QM_A_97QI" "QI"
"135" "A" "103QI" "32.99" "9.809" "1.652" "0.147" "0.238" "0.058" "20.348" "7.278" 18.427 "1.883" "1.903" "0.086" "0.546" "0.131" "9.698" "1.1" "2022" "22_QM_A_103QI" "QI"
"136" "A" "108CL" "34.43" "3.719" "1.896" "0.056" "0.302" "0.014" "18.387" "2.323" 30.279 "2.565" "1.712" "0.026" "0.24" "0.017" "17.681" "1.409" "2022" "22_QM_A_108CL" "CL"
"137" "A" "158QI" "35.181" "4.819" "1.726" "0.122" "0.297" "0.072" "20.51" "3.585" 15.089 "1.239" "1.959" "0.078" "0.772" "0.055" "7.718" "0.805" "2022" "22_QM_A_158QI" "QI"
"138" "B" "274CL" "28.206" "3.087" "1.86" "0.11" "0.335" "0.031" "15.272" "2.563" 32.121 "0.608" "1.648" "0.019" "0.254" "0.018" "19.489" "0.201" "2022" "22_QM_B_274CL" "CL"
"139" "B" "176CL" "28.515" "3.224" "1.907" "0.053" "0.359" "0.066" "14.59" "1.545" 32.673 "2.231" "1.574" "0.016" "0.266" "0.026" "20.767" "1.464" "2022" "22_QM_B_176CL" "CL"
"140" "B" "178QI" "35.274" "2.867" "1.751" "0.053" "0.252" "0.032" "20.125" "1.029" 17.167 "2.345" "1.869" "0.077" "0.527" "0.099" "9.173" "1.06" "2022" "22_QM_B_178QI" "QI"
"141" "B" "179QI" "35.483" "3.267" "1.739" "0.018" "0.231" "0.019" "20.414" "1.993" 17.267 "3.172" "1.719" "0.165" "0.317" "0.028" "10.118" "2.194" "2022" "22_QM_B_179QI" "QI"
"142" "B" "177QI" "44.104" "2.694" "1.751" "0.027" "0.215" "0.018" "25.18" "1.454" 19.301 "5.927" "1.785" "0.024" "0.401" "0.056" "10.785" "3.211" "2022" "22_QM_B_177QI" "QI"
"143" "B" "175QI" "28.469" "3.743" "1.707" "0.035" "0.257" "0.023" "16.711" "2.443" 17.426 "2.686" "1.932" "0.09" "0.781" "0.194" "9.068" "1.748" "2022" "22_QM_B_175QI" "QI"
"144" "B" "182QI" "26.274" "2.897" "1.738" "0.168" "0.298" "0.03" "15.321" "3.08" 14.083 "0.877" "1.826" "0.029" "0.45" "0.019" "7.718" "0.605" "2022" "22_QM_B_182QI" "QI"
"145" "B" "184CL" "22.377" "3.332" "1.592" "0.151" "0.456" "0.116" "14.274" "3.327" 30.517 "2.005" "1.557" "0.03" "0.273" "0.031" "19.585" "0.911" "2022" "22_QM_B_184CL" "CL"
"146" "B" "463CL" "29.088" "6.05" "1.72" "0.1" "0.338" "0.051" "16.947" "3.701" 38.409 "1.275" "1.532" "0.055" "0.237" "0.031" "25.074" "0.399" "2022" "22_QM_B_463CL" "CL"
"147" "B" "301CL" "45.887" "3.272" "1.661" "0.085" "0.255" "0.028" "27.744" "3.153" 34.943 "2.623" "1.6" "0.03" "0.24" "0.009" "21.862" "1.94" "2022" "22_QM_B_301CL" "CL"
"148" "C" "350CL" "17.507" "2.13" "1.751" "0.083" "0.354" "0.034" "10.029" "1.442" 29.088 "6.05" "1.72" "0.1" "0.338" "0.051" "16.947" "3.701" "2022" "22_QM_C_350CL" "CL"
"149" "B" "187QI" "30.354" "2.326" "1.795" "0.039" "0.24" "0.012" "16.938" "1.597" 17.507 "2.13" "1.751" "0.083" "0.354" "0.034" "10.029" "1.442" "2022" "22_QM_B_187QI" "QI"
"150" "C" "256CL" "18.065" "2.196" "1.769" "0.047" "0.355" "0.047" "10.203" "1.124" 30.354 "2.326" "1.795" "0.039" "0.24" "0.012" "16.938" "1.597" "2022" "22_QM_C_256CL" "CL"
"151" "B" "190QI" "35.038" "0.859" "1.697" "0.059" "0.268" "0.006" "20.662" "0.716" 18.065 "2.196" "1.769" "0.047" "0.355" "0.047" "10.203" "1.124" "2022" "22_QM_B_190QI" "QI"
"152" "C" "255CL" "14.15" "3.412" "1.788" "0.065" "0.521" "0.081" "7.923" "1.919" 35.038 "0.859" "1.697" "0.059" "0.268" "0.006" "20.662" "0.716" "2022" "22_QM_C_255CL" "CL"
"153" "B" "189QI" "35.05" "6.669" "1.769" "0.064" "0.271" "0.039" "19.906" "4.192" 14.15 "3.412" "1.788" "0.065" "0.521" "0.081" "7.923" "1.919" "2022" "22_QM_B_189QI" "QI"
"154" "C" "259CL" "34.585" "1.925" "1.596" "0.038" "0.252" "0.016" "21.666" "1.037" 35.05 "6.669" "1.769" "0.064" "0.271" "0.039" "19.906" "4.192" "2022" "22_QM_C_259CL" "CL"
"155" "B" "172CL" "35.923" "3.705" "1.801" "0.145" "0.26" "0.006" "20.101" "2.965" 34.585 "1.925" "1.596" "0.038" "0.252" "0.016" "21.666" "1.037" "2022" "22_QM_B_172CL" "CL"
"156" "C" "269CL" "12.769" "4.476" "1.765" "0.066" "0.713" "0.106" "7.304" "2.859" 35.923 "3.705" "1.801" "0.145" "0.26" "0.006" "20.101" "2.965" "2022" "22_QM_C_269CL" "CL"
"157" "B" "171QI" "24.491" "1.455" "1.718" "0.017" "0.364" "0.044" "14.255" "0.769" 12.769 "4.476" "1.765" "0.066" "0.713" "0.106" "7.304" "2.859" "2022" "22_QM_B_171QI" "QI"
"158" "C" "268CL" "15.706" "1.259" "1.726" "0.095" "0.452" "0.046" "9.092" "0.269" 24.491 "1.455" "1.718" "0.017" "0.364" "0.044" "14.255" "0.769" "2022" "22_QM_C_268CL" "CL"
"159" "B" "166QI" "21.332" "3.154" "1.774" "0.084" "0.317" "0.049" "11.978" "1.292" 15.706 "1.259" "1.726" "0.095" "0.452" "0.046" "9.092" "0.269" "2022" "22_QM_B_166QI" "QI"
"160" "C" "362CL" "13.186" "2.256" "1.739" "0.046" "0.556" "0.082" "7.608" "1.488" 21.332 "3.154" "1.774" "0.084" "0.317" "0.049" "11.978" "1.292" "2022" "22_QM_C_362CL" "CL"
"161" "B" "168QI" "23.601" "3.257" "1.751" "0.09" "0.314" "0.027" "13.536" "2.202" 13.186 "2.256" "1.739" "0.046" "0.556" "0.082" "7.608" "1.488" "2022" "22_QM_B_168QI" "QI"
"162" "A" "161QI" "36.793" "8.333" "1.637" "0.076" "0.206" "0.062" "22.626" "6.015" 13.8 "1.541" "1.843" "0.048" "0.393" "0.074" "7.502" "1" "2022" "22_QM_A_161QI" "QI"
"163" "A" "160QI" "42.745" "2.545" "1.759" "0.019" "0.208" "0.028" "24.313" "1.602" 12.555 "2.181" "1.878" "0.117" "0.592" "0.143" "6.728" "1.416" "2022" "22_QM_A_160QI" "QI"
"164" "C" "358CL" "14.1" "2.083" "1.977" "0.067" "0.514" "0.109" "7.132" "1.029" 42.745 "2.545" "1.759" "0.019" "0.208" "0.028" "24.313" "1.602" "2022" "22_QM_C_358CL" "CL"
"165" "A" "159QI" "43.094" "3.408" "1.775" "0.084" "0.233" "0.011" "24.259" "1.126" 14.1 "2.083" "1.977" "0.067" "0.514" "0.109" "7.132" "1.029" "2022" "22_QM_A_159QI" "QI"
"166" "B" "279CL" "28.912" "1.874" "1.72" "0.23" "0.316" "0.027" "17.073" "2.675" 29.818 "2.029" "1.673" "0.082" "0.288" "0.055" "17.814" "0.483" "2022" "22_QM_B_279CL" "CL"
"167" "A" "157QI" "38.797" "7.116" "1.796" "0.081" "0.286" "0.135" "21.744" "4.663" 18.435 "3.541" "2.017" "0.098" "0.595" "0.143" "9.193" "2.106" "2022" "22_QM_A_157QI" "QI"
"168" "C" "235CL" "16.716" "0.286" "1.878" "0.163" "0.31" "0.026" "8.943" "0.929" 38.797 "7.116" "1.796" "0.081" "0.286" "0.135" "21.744" "4.663" "2022" "22_QM_C_235CL" "CL"
"169" "A" "156QI" "39.924" "3.835" "1.826" "0.078" "0.199" "0.053" "21.922" "2.633" 16.716 "0.286" "1.878" "0.163" "0.31" "0.026" "8.943" "0.929" "2022" "22_QM_A_156QI" "QI"
"170" "C" "234CL" "15.024" "3.024" "1.917" "0.024" "0.68" "0.164" "7.831" "1.543" 39.924 "3.835" "1.826" "0.078" "0.199" "0.053" "21.922" "2.633" "2022" "22_QM_C_234CL" "CL"
"171" "A" "155QI" "32.037" "2.663" "1.799" "0.074" "0.259" "0.041" "17.866" "2.163" 15.024 "3.024" "1.917" "0.024" "0.68" "0.164" "7.831" "1.543" "2022" "22_QM_A_155QI" "QI"
"172" "A" "154QI" "31.282" "12.753" "1.712" "0.08" "0.22" "0.076" "18.532" "8.108" 12.892 "2.033" "1.832" "0.11" "0.462" "0.11" "7.067" "1.295" "2022" "22_QM_A_154QI" "QI"
"173" "A" "153QI" "25.964" "2.891" "1.783" "0.158" "0.258" "0.024" "14.743" "2.861" 14.113 "0.923" "1.965" "0.045" "0.453" "0.056" "7.187" "0.537" "2022" "22_QM_A_153QI" "QI"
"174" "C" "242CL" "38.163" "2.85" "1.807" "0.07" "0.193" "0.035" "21.167" "2.188" 17.237 "3.224" "1.936" "0.007" "0.324" "0.01" "8.902" "1.66" "2022" "22_QM_C_242CL" "CL"
"175" "A" "76QI" "38.163" "2.85" "1.807" "0.07" "0.193" "0.035" "21.167" "2.188" 17.237 "3.224" "1.936" "0.007" "0.324" "0.01" "8.902" "1.66" "2022" "22_QM_A_76QI" "QI"
"176" "A" "69CL" "30.027" "4.679" "1.836" "0.077" "0.322" "0.046" "16.306" "1.979" 21.547 "0.852" "1.705" "0.018" "0.307" "0.015" "12.645" "0.618" "2022" "22_QM_A_69CL" "CL"
"177" "A" "64CL" "26.762" "5.26" "1.848" "0.073" "0.349" "0.058" "14.506" "2.955" 32.225 "8.207" "1.726" "0.038" "0.277" "0.065" "18.743" "5.092" "2022" "22_QM_A_64CL" "CL"
"178" "C" "253CL" "36.017" "0.769" "1.687" "0.004" "0.234" "0.019" "21.347" "0.422" 26.762 "5.26" "1.848" "0.073" "0.349" "0.058" "14.506" "2.955" "2022" "22_QM_C_253CL" "CL"
"179" "A" "66CL" "30.54" "4.584" "1.833" "0.133" "0.327" "0.041" "16.714" "2.681" 36.017 "0.769" "1.687" "0.004" "0.234" "0.019" "21.347" "0.422" "2022" "22_QM_A_66CL" "CL"
"180" "C" "352CL" "34.283" "3.024" "1.639" "0.047" "0.24" "0.006" "20.937" "2.032" 30.54 "4.584" "1.833" "0.133" "0.327" "0.041" "16.714" "2.681" "2022" "22_QM_C_352CL" "CL"
"181" "A" "59CL" "33.425" "4.43" "1.873" "0.077" "0.299" "0.043" "17.845" "2.28" 34.283 "3.024" "1.639" "0.047" "0.24" "0.006" "20.937" "2.032" "2022" "22_QM_A_59CL" "CL"
"182" "B" "167CL" "35.153" "3.608" "1.65" "0.099" "0.281" "0.01" "21.325" "2.042" 31.788 "2.816" "1.587" "0.082" "0.275" "0.02" "20.073" "2.138" "2022" "22_QM_B_167CL" "CL"
"183" "C" "260CL" "28.222" "3.36" "1.695" "0.023" "0.254" "0.024" "16.656" "1.978" 33.425 "4.43" "1.873" "0.077" "0.299" "0.043" "17.845" "2.28" "2022" "22_QM_C_260CL" "CL"
"184" "A" "40CL" "35.364" "3.384" "1.759" "0.076" "0.289" "0.04" "20.1" "1.681" 28.222 "3.36" "1.695" "0.023" "0.254" "0.024" "16.656" "1.978" "2022" "22_QM_A_40CL" "CL"
"185" "C" "432CL" "36.432" "2.769" "1.707" "0.033" "0.212" "0.013" "21.331" "1.355" 35.364 "3.384" "1.759" "0.076" "0.289" "0.04" "20.1" "1.681" "2022" "22_QM_C_432CL" "CL"
"186" "A" "31CL" "39.363" "3.008" "1.819" "0.11" "0.265" "0.036" "21.669" "1.74" 36.432 "2.769" "1.707" "0.033" "0.212" "0.013" "21.331" "1.355" "2022" "22_QM_A_31CL" "CL"
"187" "C" "433CL" "8.112" "5.928" "1.703" "0.13" "0.759" "0.081" "3.83" "3.576" 39.363 "3.008" "1.819" "0.11" "0.265" "0.036" "21.669" "1.74" "2022" "22_QM_C_433CL" "CL"
"188" "A" "39QI" "32.05" "1.141" "1.788" "0.021" "0.268" "0.028" "17.932" "0.745" 8.112 "5.928" "1.703" "0.13" "0.759" "0.081" "3.83" "3.576" "2022" "22_QM_A_39QI" "QI"
"189" "A" "37QI" "35.968" "8.024" "1.773" "0.157" "0.268" "0.039" "20.304" "4.491" 15.092 "4.121" "2.02" "0.056" "0.552" "0.003" "7.441" "1.849" "2022" "22_QM_A_37QI" "QI"
"190" "C" "434CL" "35.968" "8.024" "1.773" "0.157" "0.268" "0.039" "20.304" "4.491" 15.092 "4.121" "2.02" "0.056" "0.552" "0.003" "7.441" "1.849" "2022" "22_QM_C_434CL" "CL"
"191" "C" "435CL" "12.152" "3.833" "1.728" "0.135" "0.424" "0.05" "6.711" "1.887" 27.554 "12.042" "1.787" "0.067" "0.3" "0.104" "15.589" "7.132" "2022" "22_QM_C_435CL" "CL"
"192" "A" "65QI" "37.503" "2.649" "1.732" "0.047" "0.219" "0.014" "21.687" "1.993" 12.152 "3.833" "1.728" "0.135" "0.424" "0.05" "6.711" "1.887" "2022" "22_QM_A_65QI" "QI"
"193" "C" "371CL" "19.221" "4.189" "1.71" "0.094" "0.276" "0.038" "11.328" "3" 37.503 "2.649" "1.732" "0.047" "0.219" "0.014" "21.687" "1.993" "2022" "22_QM_C_371CL" "CL"
"194" "A" "67QI" "39.542" "3.663" "1.45" "0.267" "0.207" "0.024" "27.837" "4.587" 19.221 "4.189" "1.71" "0.094" "0.276" "0.038" "11.328" "3" "2022" "22_QM_A_67QI" "QI"
"195" "A" "58CL" "27.873" "5.76" "1.73" "0.041" "0.365" "0.089" "16.065" "3.057" 32.012 "2.344" "1.591" "0.009" "0.252" "0.005" "20.127" "1.574" "2022" "22_QM_A_58CL" "CL"
"196" "A" "53CL" "28.703" "5.071" "1.815" "0.089" "0.347" "0.029" "15.797" "3.034" 29.975 "5.864" "1.658" "0.041" "0.268" "0.056" "18.035" "3.232" "2022" "22_QM_A_53CL" "CL"
"197" "B" "292CL" "31.64" "3.662" "1.848" "0.153" "0.33" "0.044" "17.698" "3.118" 30.825 "1.193" "1.555" "0.025" "0.276" "0.018" "19.827" "0.851" "2022" "22_QM_B_292CL" "CL"
"198" "A" "52CL" "31.917" "3.396" "1.763" "0.078" "0.349" "0.049" "18.158" "2.314" 28.235 "2.529" "1.67" "0.013" "0.246" "0.001" "16.91" "1.645" "2022" "22_QM_A_52CL" "CL"
"199" "A" "48CL" "40.077" "4.871" "1.924" "0.087" "0.235" "0.038" "20.532" "3.549" 30.823 "2.991" "1.653" "0.024" "0.259" "0.019" "18.65" "1.795" "2022" "22_QM_A_48CL" "CL"
"200" "A" "44CL" "39.305" "1.904" "1.688" "0.065" "0.291" "0.013" "22.904" "0.605" 37.138 "1.749" "1.663" "0.139" "0.222" "0.016" "22.147" "1.941" "2022" "22_QM_A_44CL" "CL"
"201" "A" "82QI" "30.139" "3.576" "1.709" "0.044" "0.242" "0.035" "17.668" "2.428" 14.217 "2.144" "1.811" "0.048" "0.463" "0.028" "7.868" "1.391" "2022" "22_QM_A_82QI" "QI"
"202" "A" "24CL" "29.621" "3.633" "1.894" "0.076" "0.386" "0.011" "15.597" "2.484" 24.803 "1.341" "1.729" "0.02" "0.3" "0.026" "14.343" "0.75" "2022" "22_QM_A_24CL" "CL"
"203" "C" "249CL" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "2022" "22_QM_C_249CL" "CL"
"204" "A" "114QI" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "2022" "22_QM_A_114QI" "QI"
"205" "C" "430QI" "38.176" "0.583" "1.759" "0.042" "0.228" "0.033" "21.705" "0.436" 16.656 "1.986" "1.752" "0.028" "0.397" "0.039" "9.501" "1.074" "2022" "22_QM_C_430QI" "QI"
"206" "B" "198QI" "26.707" "2.188" "1.757" "0.026" "0.258" "0.04" "15.212" "1.372" 12.11 "2.898" "1.823" "0.103" "0.584" "0.125" "6.715" "1.995" "2022" "22_QM_B_198QI" "QI"
"207" "B" "336QI" "25.664" "1.719" "1.791" "0.059" "0.287" "0.008" "14.355" "1.249" 12.878 "0.899" "1.747" "0.035" "0.415" "0.006" "7.379" "0.662" "2022" "22_QM_B_336QI" "QI"
"208" "B" "273CL" "32.713" "2.556" "1.766" "0.124" "0.312" "0.081" "18.014" "0.873" 33.708 "3.536" "1.584" "0.034" "0.247" "0.013" "21.312" "2.548" "2022" "22_QM_B_273CL" "CL"
"209" "B" "302CL" "30.982" "4.711" "1.788" "0.129" "0.315" "0.039" "17.455" "3.36" 28.893 "2.642" "1.683" "0.022" "0.254" "0.016" "17.152" "1.34" "2022" "22_QM_B_302CL" "CL"
"210" "B" "337CL" "31.926" "2.072" "1.818" "0.035" "0.331" "0.019" "17.565" "1.049" 27.782 "1.695" "1.629" "0.037" "0.284" "0.017" "17.066" "1.137" "2022" "22_QM_B_337CL" "CL"
"211" "B" "335CL" "29.759" "3.027" "1.829" "0.111" "0.294" "0.019" "16.332" "2.086" 26.063 "1.925" "1.684" "0.061" "0.252" "0.019" "15.505" "1.59" "2022" "22_QM_B_335CL" "CL"
"212" "B" "232CL" "33.064" "2.052" "1.821" "0.092" "0.308" "0.037" "18.081" "1.029" 25.34 "1.633" "1.659" "0.016" "0.289" "0.012" "15.207" "1.065" "2022" "22_QM_B_232CL" "CL"
"213" "B" "226CL" "28.252" "1.6" "1.896" "0.075" "0.349" "0.039" "14.933" "1.315" 22.577 "3.399" "1.681" "0.047" "0.3" "0.023" "13.424" "1.978" "2022" "22_QM_B_226CL" "CL"
"214" "B" "223CL" "29.753" "2.267" "1.833" "0.09" "0.346" "0.034" "16.266" "1.408" 29.839 "1.782" "1.674" "0.086" "0.235" "0.028" "17.887" "1.945" "2022" "22_QM_B_223CL" "CL"
"215" "B" "221CL" "33.345" "1.701" "1.858" "0.13" "0.294" "0.042" "18.243" "2.129" 29.518 "1.838" "1.693" "0.059" "0.275" "0.004" "16.516" "0.825" "2022" "22_QM_B_221CL" "CL"
"216" "C" "418QI" "34.872" "2.998" "1.861" "0.062" "0.271" "0.026" "18.757" "1.731" 16.002 "2.436" "1.857" "0.112" "0.495" "0.103" "8.589" "0.943" "2022" "22_QM_C_418QI" "QI"
"217" "B" "234CL" "32.036" "2.245" "1.794" "0.052" "0.294" "0.02" "17.879" "1.578" 31.943 "0.966" "1.648" "0.03" "0.227" "0.016" "19.393" "0.794" "2022" "22_QM_B_234CL" "CL"
"218" "C" "420QI" "30.79" "1.95" "1.755" "0.026" "0.262" "0.007" "17.543" "1.017" 35.633 "6.44" "1.752" "0.011" "0.234" "0.039" "20.341" "3.677" "2022" "22_QM_NA_420QI" "QI"
"219" "C" "422QI" "23.503" "2.533" "1.719" "0.029" "0.333" "0.019" "13.674" "1.424" 22.138 "3.542" "1.767" "0.02" "0.314" "0.024" "12.512" "1.864" "2022" "22_QM_C_422QI" "QI"
"220" "C" "421QI" "37.493" "7.463" "1.743" "0.021" "0.289" "0.065" "21.507" "4.308" 37.466 "1.831" "1.768" "0.03" "0.255" "0.011" "21.196" "1.094" "2022" "22_QM_C_421QI" "QI"
"221" "C" "429QI" "35.672" "3.095" "1.807" "0.124" "0.284" "0.021" "19.727" "0.908" 28.655 "13.832" "1.697" "0.114" "0.239" "0.022" "16.542" "7.119" "2022" "22_QM_C_429QI" "QI"
"222" "C" "431QI" "32.159" "3.421" "1.808" "0.094" "0.271" "0.019" "17.883" "2.743" 22.332 "3.528" "1.962" "0.093" "0.475" "0.097" "11.398" "1.808" "2022" "22_QM_C_431QI" "QI"
"223" "C" "423QI" "34.518" "2.573" "1.803" "0.067" "0.248" "0.028" "19.129" "1.044" 23.989 "4.015" "1.749" "0.153" "0.289" "0.041" "13.856" "2.859" "2022" "22_QM_C_423QI" "QI"
"224" "C" "425QI" "37.79" "4.205" "1.772" "0.057" "0.245" "0.028" "21.305" "2.03" 20.837 "1.055" "1.757" "0.409" "0.399" "0.083" "12.487" "4.028" "2022" "22_QM_C_425QI" "QI"
"225" "C" "424QI" "34.272" "1.379" "1.815" "0.07" "0.275" "0.013" "18.927" "1.388" 28.461 "1.844" "1.801" "0.051" "0.27" "0.022" "15.793" "0.6" "2022" "22_QM_C_424QI" "QI"
"226" "C" "426QI" "39.494" "5.337" "1.876" "0.129" "0.261" "0.026" "21.151" "3.407" 32.023 "11.129" "1.908" "0.059" "0.326" "0.079" "16.872" "6.131" "2022" "22_QM_C_426QI" "QI"
"227" "C" "267QI" "40.721" "3.415" "1.722" "0.034" "0.235" "0.025" "23.655" "1.944" 39.984 "5.483" "1.602" "0.114" "0.246" "0.037" "25.076" "4.175" "2022" "22_QM_C_267QI" "QI"
"228" "C" "428QI" "27.59" "4.355" "1.802" "0.08" "0.298" "0.043" "15.301" "2.262" 17.175 "1.985" "1.82" "0.162" "0.548" "0.066" "9.749" "1.715" "2022" "22_QM_C_428QI" "QI"
"229" "C" "360QI" "33.838" "2.391" "1.813" "0.047" "0.234" "0.011" "18.656" "1.027" 33.331 "4.224" "1.811" "0.057" "0.278" "0.089" "18.451" "2.917" "2022" "22_QM_C_360QI" "QI"
"230" "C" "419QI" "19.77" "4.067" "1.878" "0.095" "0.367" "0.059" "10.554" "2.234" 24.232 "3.595" "1.792" "0.102" "0.344" "0.06" "13.614" "2.601" "2022" "22_QM_C_419QI" "QI"
"231" "C" "419QI" "19.77" "4.067" "1.878" "0.095" "0.367" "0.059" "10.554" "2.234" NA NA NA NA NA NA NA NA "2022" "22_QM_C_419QI" "QI"
"232" "C" "342QI" "40.344" "4.208" "1.782" "0.065" "0.268" "0.059" "22.648" "2.348" 21.486 "3.687" "1.733" "0.095" "0.35" "0.039" "12.364" "1.765" "2022" "22_QM_C_342QI" "QI"
"233" "C" "341QI" "33.197" "6.933" "1.755" "0.093" "0.223" "0.022" "18.916" "3.922" 25.285 "3.782" "1.784" "0.015" "0.288" "0.041" "14.179" "2.128" "2022" "22_QM_C_341QI" "QI"
"234" "C" "427QI" "26.183" "2.46" "1.822" "0.072" "0.291" "0.026" "14.436" "1.892" 28.959 "5.058" "1.742" "0.039" "0.252" "0.031" "16.665" "3.167" "2022" "22_QM_C_427QI" "QI"
"235" "C" "240QI" "38.126" "4.168" "1.74" "0.108" "0.238" "0.037" "22.035" "3.284" 36.289 "4.533" "1.636" "0.097" "0.215" "0.046" "21.58" "2.889" "2022" "22_QM_C_240QI" "QI"
"236" "C" "417QI" "35.864" "4.924" "1.754" "0.023" "0.28" "0.041" "20.477" "3.112" 26.867 "7.33" "1.637" "0.177" "0.271" "0.042" "16.149" "3.264" "2022" "22_QM_C_417QI" "QI"
"237" "B" "304CL" "28.877" "3.185" "1.82" "0.027" "0.336" "0.031" "15.86" "1.612" 36.198 "3.074" "1.609" "0.147" "0.254" "0.008" "22.511" "0.273" "2022" "22_QM_B_304CL" "CL"
"238" "B" "196QI" "31.673" "2.687" "1.794" "0.04" "0.242" "0.02" "17.673" "1.628" 17.768 "3.311" "1.857" "0.042" "0.411" "0.061" "9.595" "1.985" "2022" "22_QM_B_196QI" "QI"
"239" "B" "195QI" "30.333" "3.255" "1.761" "0.044" "0.237" "0.029" "17.26" "2.152" 12.326 "3.244" "1.939" "0.129" "0.694" "0.188" "6.302" "1.224" "2022" "22_QM_B_195QI" "QI"
"240" "B" "193QI" "34.4" "2.207" "1.721" "0.021" "0.264" "0.028" "19.99" "1.24" 24.677 "1.964" "1.837" "0.073" "0.484" "0.078" "13.464" "1.458" "2022" "22_QM_B_193QI" "QI"
"241" "B" "194QI" "25.531" "2.121" "1.729" "0.099" "0.259" "0.024" "14.776" "1.1" 13.7 "3.766" "1.912" "0.054" "0.402" "0.076" "7.163" "1.903" "2022" "22_QM_B_194QI" "QI"
"242" "B" "191QI" "29.525" "6.371" "1.768" "0.064" "0.25" "0.033" "16.643" "3.187" 10.439 "2.013" "1.848" "0.089" "0.501" "0.027" "5.634" "0.929" "2022" "22_QM_B_191QI" "QI"
"243" "B" "192QI" "29.285" "3.553" "1.796" "0.045" "0.267" "0.014" "16.302" "1.927" 16.043 "4.771" "1.808" "0.136" "0.335" "0.023" "8.788" "2.31" "2022" "22_QM_B_192QI" "QI"
