"year","treatment","mean_ss_lad","mean_ss_pop","sd_ss_lad","sd_ss_pop","n_ss_lad","n_ss_pop"
2021,"control",908.25,17.9615384615385,354.371761107488,8.21452746896993,72,26
2021,"high",803.576470588235,29.3333333333333,380.197923908769,16.8974497934987,85,15
2021,"hyper",764.177777777778,36,324.448627459225,20.0333056017556,90,10
2022,"control",479.181818181818,24.6101694915254,287.589684513332,13.8825329959835,44,59
2022,"high",552.684210526316,NA,266.517187241847,NA,38,NA
2022,"hyper",500.444444444444,NA,233.209218691157,NA,36,NA
