"year","treatment","mean_fs_lad_pol","mean_fs_lad_total","mean_fs_pop_pol","mean_fs_pop_total","n_fs_lad_pol","n_fs_lad_total","n_fs_pop_pol","n_fs_pop_total","sd_fs_lad_pol","sd_fs_lad_total","sd_fs_pop_pol","sd_fs_pop_total"
2021,"control",95.6896551724138,94.8717948717949,31.3131313131313,31.3131313131313,116,117,99,99,20.3971071235726,22.1521145801333,46.6127438264859,46.6127438264859
2021,"high",91.9642857142857,88.034188034188,34.0425531914894,28.0701754385965,112,117,47,57,27.306709260846,32.5957294706371,47.8975162498508,45.3336281871585
2021,"hyper",97.4576271186441,95.8333333333333,38.4615384615385,15.625,118,120,26,64,15.8079521629548,20.066416332414,49.6138938356834,36.59625273557
2022,"control",70.9401709401709,70.9401709401709,50.7575757575758,50.7575757575758,117,117,132,132,45.5991323643808,45.5991323643808,50.1847154755373,50.1847154755373
2022,"high",67.6767676767677,59.2920353982301,0,0,99,113,2,2,47.0090803826778,49.3478327458564,0,0
2022,"hyper",67.9245283018868,62.0689655172414,0,0,106,116,3,7,46.8984105961177,48.7320489380772,0,0
