"site","treatment","sampling_unit","year","observation","level","sampling_unit_new"
"valencia","control_hyper","trap_2",2021,33.3333333333333,"raton","valencia/control_hyper/trap_2/2021"
"toledo","high","trap_2",2021,33.3333333333333,"raton","toledo/high/trap_2/2021"
"valencia","high","trap_2",2021,0,"raton","valencia/high/trap_2/2021"
"toledo","hyper","trap_2",2021,33.3333333333333,"raton","toledo/hyper/trap_2/2021"
"valencia","hyper","trap_2",2021,33.3333333333333,"raton","valencia/hyper/trap_2/2021"
"valencia","control_high","trap_20",2021,0,"raton","valencia/control_high/trap_20/2021"
"valencia","control_hyper","trap_20",2021,33.3333333333333,"raton","valencia/control_hyper/trap_20/2021"
"toledo","high","trap_20",2021,66.6666666666667,"raton","toledo/high/trap_20/2021"
"valencia","high","trap_20",2021,0,"raton","valencia/high/trap_20/2021"
"toledo","hyper","trap_20",2021,0,"raton","toledo/hyper/trap_20/2021"
"valencia","hyper","trap_20",2021,0,"raton","valencia/hyper/trap_20/2021"
"valencia","control_high","trap_21",2021,0,"raton","valencia/control_high/trap_21/2021"
"valencia","control_hyper","trap_21",2021,0,"raton","valencia/control_hyper/trap_21/2021"
"toledo","high","trap_21",2021,100,"raton","toledo/high/trap_21/2021"
"valencia","high","trap_21",2021,33.3333333333333,"raton","valencia/high/trap_21/2021"
"toledo","hyper","trap_21",2021,0,"raton","toledo/hyper/trap_21/2021"
"valencia","hyper","trap_21",2021,33.3333333333333,"raton","valencia/hyper/trap_21/2021"
"valencia","control_high","trap_22",2021,66.6666666666667,"raton","valencia/control_high/trap_22/2021"
"toledo","high","trap_22",2021,33.3333333333333,"raton","toledo/high/trap_22/2021"
"valencia","high","trap_22",2021,0,"raton","valencia/high/trap_22/2021"
"toledo","hyper","trap_22",2021,0,"raton","toledo/hyper/trap_22/2021"
"valencia","hyper","trap_22",2021,0,"raton","valencia/hyper/trap_22/2021"
"valencia","control_high","trap_23",2021,0,"raton","valencia/control_high/trap_23/2021"
"toledo","high","trap_23",2021,100,"raton","toledo/high/trap_23/2021"
"valencia","high","trap_23",2021,33.3333333333333,"raton","valencia/high/trap_23/2021"
"toledo","hyper","trap_23",2021,0,"raton","toledo/hyper/trap_23/2021"
"valencia","hyper","trap_23",2021,66.6666666666667,"raton","valencia/hyper/trap_23/2021"
"valencia","control_high","trap_24",2021,0,"raton","valencia/control_high/trap_24/2021"
