"site","treatment","track","point","year","Riqueza","Shannon","Simpson","Abundancia"
"toledo","hyper","T99","P10",2022,7,2.39302963987199,1.88943408570494,152
"toledo","hyper","T99","P11",2021,8,2.5643127185414,2.20334126560148,213
"toledo","hyper","T99","P11",2022,10,2.35986598621232,1.66428165731104,475
"toledo","hyper","T99","P12",2021,10,2.62176536934811,2.20196317444024,262
"toledo","hyper","T99","P12",2022,12,3.19758407971762,2.46520972858653,187
"toledo","hyper","T99","P2",2021,6,1.7988018543685,1.34389140271493,99
"toledo","hyper","T99","P2",2022,8,3.14941732714169,2.34589235127479,182
"toledo","hyper","T99","P3",2021,6,1.75257032751793,1.31539390685814,99
"toledo","hyper","T99","P3",2022,7,3.12298897722686,2.40580251525339,139
"toledo","hyper","T99","P4",2021,7,2.07164889695782,1.48012055175611,113
"toledo","hyper","T99","P4",2022,10,3.35591109898284,2.60612550867423,156
"toledo","hyper","T99","P5",2021,6,1.92469535170633,1.4200488997555,132
"toledo","hyper","T99","P5",2022,7,3.08845067732024,2.25486250838363,164
"toledo","hyper","T99","P6",2021,9,2.56421349960246,1.64233576642336,75
"toledo","hyper","T99","P6",2022,10,3.2373544649671,2.28689246536953,169
"toledo","hyper","T99","P7",2021,7,2.25470198647902,1.54398249452954,84
"toledo","hyper","T99","P7",2022,9,3.38044312172307,2.59818319454958,131
"toledo","hyper","T99","P8",2021,10,2.67573597337004,2.13428405497838,315
"toledo","hyper","T99","P8",2022,10,3.01578201619243,2.40342245989305,212
"toledo","hyper","T99","P9",2021,12,2.87971148008757,2.08035076985826,202
"toledo","hyper","T99","P9",2022,11,2.61725386590705,1.97148676171079,220
"valencia","controlhigh","T1","P1",2021,10,2.29663693496889,1.6742010663091,229
"valencia","controlhigh","T1","P1",2022,13,3.9200812054735,2.71095832748702,139
"valencia","controlhigh","T1","P2",2021,10,2.23179129850642,1.53162522454382,180
"valencia","controlhigh","T1","P2",2022,8,3.82238876986031,2.93577981651376,80
"valencia","controlhigh","T1","P3",2021,9,3.05950445613705,1.99123855037834,100
"valencia","controlhigh","T1","P3",2022,8,3.94831898327832,2.69203539823009,39
"valencia","controlhigh","T2","P1",2021,9,3.42031126958194,2.56028368794326,133
"valencia","controlhigh","T2","P1",2022,10,4.27967062668854,3.22286162699451,111
"valencia","controlhigh","T2","P2",2021,11,4.87284518751475,3.37449843958984,87
"valencia","controlhigh","T2","P2",2022,6,3.37462063707974,2.64525633470831,67
"valencia","controlhigh","T2","P3",2021,8,3.72872142597124,2.85080147965475,68
"valencia","controlhigh","T2","P3",2022,6,3.187276873114,2.36943907156673,35
"valencia","controlhigh","T3","P1",2021,11,2.77538376842405,1.89544641628835,166
"valencia","controlhigh","T3","P1",2022,8,4.44633898425761,3.09155429382541,132
"valencia","controlhigh","T3","P2",2021,9,2.57889240407562,1.67833740831296,131
"valencia","controlhigh","T3","P2",2022,11,4.72133786002015,3.34450417476839,171
"valencia","controlhigh","T3","P3",2021,11,3.57352951737819,2.61856805664831,129
"valencia","controlhigh","T3","P3",2022,12,3.46342350540068,2.3168287210172,176
"valencia","controlhigh","T4","P1",2021,10,3.06089301700892,1.96239265620373,141
"valencia","controlhigh","T4","P1",2022,13,2.92447525410568,1.70263607054807,134
"valencia","controlhigh","T4","P2",2021,10,3.83418005740507,2.82551928783383,138
"valencia","controlhigh","T4","P2",2022,15,4.41417595444155,2.9267113675347,274
"valencia","controlhigh","T4","P3",2021,9,3.05087645996683,2.10060945149366,145
"valencia","controlhigh","T4","P3",2022,8,4.64341889672422,3.20829493087558,59
"valencia","controlhyper","T1","P1",2021,10,2.0570380333613,1.40366162694684,314
"valencia","controlhyper","T1","P1",2022,10,5.43253787640857,4.37304774654172,140
"valencia","controlhyper","T1","P2",2021,8,3.55207658013933,2.26881028938907,84
"valencia","controlhyper","T1","P2",2022,11,6.72568975369577,5.14683815648446,98
"valencia","controlhyper","T1","P3",2021,8,3.31442310741448,2.21899736147757,116
"valencia","controlhyper","T1","P3",2022,13,5.14724543276896,3.20327581164083,148
"valencia","controlhyper","T2","P1",2021,8,4.47986921069848,3.70096225018505,100
"valencia","controlhyper","T2","P1",2022,13,6.22320489858114,4.63435052660005,131
"valencia","controlhyper","T2","P2",2021,10,2.96870117716404,1.95971289650382,184
"valencia","controlhyper","T2","P2",2022,8,5.2656622878967,4.29850746268657,72
"valencia","controlhyper","T2","P3",2021,7,3.81671840465301,3.07536930961712,101
"valencia","controlhyper","T2","P3",2022,10,5.16876893713861,3.53733170134639,170
"valencia","controlhyper","T3","P1",2021,7,3.02344478251968,2.28758169934641,140
"valencia","controlhyper","T3","P1",2022,9,3.87857926714665,2.5184216263353,152
"valencia","controlhyper","T3","P2",2021,10,4.67229384746643,2.97437513127494,119
"valencia","controlhyper","T3","P2",2022,14,5.81002496318557,3.71315267680106,106
"valencia","controlhyper","T3","P3",2021,6,2.52161875075796,1.78266934007497,143
"valencia","controlhyper","T3","P3",2022,15,4.10369199778832,2.57142857142857,186
"valencia","controlhyper","T4","P1",2021,10,5.688047365345,4.01998097050428,65
"valencia","controlhyper","T4","P1",2022,9,4.67757921172828,3.49389451805664,164
"valencia","controlhyper","T4","P2",2021,7,2.96485078083837,2.2978465554209,157
"valencia","controlhyper","T4","P2",2022,8,2.78217247982043,1.98717528397586,321
"valencia","controlhyper","T4","P3",2021,8,3.29291947851862,2.17172612452914,99
"valencia","controlhyper","T4","P3",2022,9,5.07765539356301,4.25031605562579,164
"valencia","high","T1","P1",2021,8,3.18876033814065,2.49096031932379,103
"valencia","high","T1","P1",2022,9,4.9780068446522,4.03924461493066,234
"valencia","high","T1","P2",2021,10,3.90291216959878,2.8924198651809,145
"valencia","high","T1","P2",2022,10,2.9754751405846,2.10118321218231,199
"valencia","high","T1","P3",2021,6,2.63473840444574,2.1273025715849,216
"valencia","high","T1","P3",2022,10,3.9903717538813,2.82164328657315,176
"valencia","high","T2","P1",2021,7,3.91132326732492,2.91563554555681,72
"valencia","high","T2","P1",2022,9,4.31737556363738,3.60742465399043,167
"valencia","high","T2","P2",2021,13,4.0349366958805,2.65465872156013,198
"valencia","high","T2","P2",2022,8,3.67803333978604,2.41420765027322,47
"valencia","high","T2","P3",2021,7,2.07966769417761,1.43991467172316,135
"valencia","high","T2","P3",2022,12,5.15745488531128,3.51527016444792,134
"valencia","high","T3","P1",2021,10,3.51575639006319,2.6544502617801,156
"valencia","high","T3","P1",2022,10,4.77377316845819,3.42874889086069,139
"valencia","high","T3","P2",2021,9,3.93560916716219,3.00555041628122,114
"valencia","high","T3","P2",2022,12,3.73546806762419,2.26428723178245,146
"valencia","high","T3","P3",2021,8,3.34450378020119,2.67225702162053,115
"valencia","high","T3","P3",2022,10,3.66192417324481,2.69266221952699,149
"valencia","high","T4","P1",2021,10,2.51108775129506,1.76879296002802,201
"valencia","high","T4","P1",2022,11,7.90773081021505,6.37735849056604,52
"valencia","high","T4","P2",2021,6,2.80795521859221,2.14912280701754,70
"valencia","high","T4","P2",2022,12,5.39808987830636,4.07626929098636,135
"valencia","high","T4","P3",2021,8,2.75806653265277,2.15391588107324,218
"valencia","high","T4","P3",2022,10,4.88829206076714,3.72149744753262,81
"valencia","hyper","T1","P1",2021,8,4.16978826897876,3.1168364289994,102
"valencia","hyper","T1","P1",2022,9,3.77496112081951,2.55623100303951,116
"valencia","hyper","T1","P2",2021,10,3.79624975877896,2.91588975842123,207
"valencia","hyper","T1","P2",2022,12,4.69791734943818,3.22560975609756,92
"valencia","hyper","T1","P3",2021,10,3.87109344589182,2.9107918476445,132
"valencia","hyper","T1","P3",2022,11,3.5240917424287,2.21110152430256,124
"valencia","hyper","T2","P1",2021,6,2.76575791995965,1.98045320878741,107
"valencia","hyper","T2","P1",2022,7,3.59918497537767,2.7292576419214,100
"valencia","hyper","T2","P2",2021,9,2.75811174040196,2.09981822492689,163
"valencia","hyper","T2","P2",2022,9,4.19480994816547,2.92780557541101,128
"valencia","hyper","T2","P3",2021,6,1.908685253007,1.39638980363459,107
"valencia","hyper","T2","P3",2022,10,3.2482361645823,1.96888672824502,90
"valencia","hyper","T3","P1",2021,7,3.01931655571736,2.45729058945191,109
"valencia","hyper","T3","P1",2022,8,2.8308802558577,1.85787652115664,129
"valencia","hyper","T3","P2",2021,11,4.375717482266,3.18751506387081,115
"valencia","hyper","T3","P2",2022,9,5.42171449095704,4.12360289283366,112
"valencia","hyper","T3","P3",2021,7,2.8987283865804,2.29671574178935,156
"valencia","hyper","T3","P3",2022,7,4.26414725497487,2.97142857142857,52
"valencia","hyper","T4","P1",2021,10,4.65972040572485,3.13676286072773,100
"valencia","hyper","T4","P1",2022,12,5.16800467631018,3.67227548424966,137
"valencia","hyper","T4","P2",2021,9,3.90449873554469,2.71364852809991,78
"valencia","hyper","T4","P2",2022,7,4.23450593737994,3.21522309711286,70
"valencia","hyper","T4","P3",2021,8,2.99990120982031,1.89971163088754,77
"valencia","hyper","T4","P3",2022,8,3.41955613723201,2.25704863973619,117
