"site","habitat","treatment","sampling_unit","indice","valor"
"toledo","scrub","control","162022_82021","delta_simpson",-1.19607843137255
"toledo","scrub","control","162022_82021","delta_abundancia",1
"toledo","scrub","control","222022_82021","delta_riqueza",0
"toledo","scrub","control","222022_82021","delta_shannon",0
"toledo","scrub","control","222022_82021","delta_simpson",0
"toledo","scrub","control","222022_82021","delta_abundancia",0
"toledo","scrub","control","232022_82021","delta_riqueza",0
"toledo","scrub","control","232022_82021","delta_shannon",0.17157287525381
"toledo","scrub","control","232022_82021","delta_simpson",0.333333333333333
"toledo","scrub","control","232022_82021","delta_abundancia",2
"toledo","scrub","control","362022_82021","delta_riqueza",2
"toledo","scrub","control","362022_82021","delta_shannon",1.54294221926093
"toledo","scrub","control","362022_82021","delta_simpson",1.1025641025641
"toledo","scrub","control","362022_82021","delta_abundancia",3
"toledo","scrub","high","132022_32021","delta_riqueza",-1
"toledo","scrub","high","132022_32021","delta_shannon",-1.5397670237109
"toledo","scrub","high","132022_32021","delta_simpson",-1.86666666666667
"toledo","scrub","high","132022_32021","delta_abundancia",4
"toledo","scrub","high","242022_32021","delta_riqueza",-3
"toledo","scrub","high","242022_32021","delta_shannon",-3
"toledo","scrub","high","242022_32021","delta_simpson",-3
"toledo","scrub","high","242022_32021","delta_abundancia",-3
"toledo","scrub","high","252022_32021","delta_riqueza",-3
"toledo","scrub","high","252022_32021","delta_shannon",-3
"toledo","scrub","high","252022_32021","delta_simpson",-3
"toledo","scrub","high","252022_32021","delta_abundancia",-3
"toledo","scrub","high","262022_32021","delta_riqueza",-3
"toledo","scrub","high","262022_32021","delta_shannon",-3
"toledo","scrub","high","262022_32021","delta_simpson",-3
"toledo","scrub","high","262022_32021","delta_abundancia",-3
"toledo","scrub","high","282022_32021","delta_riqueza",-3
"toledo","scrub","high","282022_32021","delta_shannon",-3
"toledo","scrub","high","282022_32021","delta_simpson",-3
"toledo","scrub","high","282022_32021","delta_abundancia",-2
"toledo","scrub","high","352022_32021","delta_riqueza",-3
"toledo","scrub","high","352022_32021","delta_shannon",-3
"toledo","scrub","high","352022_32021","delta_simpson",-3
"toledo","scrub","high","352022_32021","delta_abundancia",-2
"toledo","scrub","hyper","122022_12021","delta_riqueza",0
"toledo","scrub","hyper","122022_12021","delta_shannon",0
"toledo","scrub","hyper","122022_12021","delta_simpson",0
"toledo","scrub","hyper","122022_12021","delta_abundancia",0
"toledo","scrub","hyper","172022_12021","delta_riqueza",0
"toledo","scrub","hyper","172022_12021","delta_shannon",0
"toledo","scrub","hyper","172022_12021","delta_simpson",0
"toledo","scrub","hyper","172022_12021","delta_abundancia",0
"toledo","scrub","hyper","182022_12021","delta_riqueza",1
"toledo","scrub","hyper","182022_12021","delta_shannon",0.82842712474619
"toledo","scrub","hyper","182022_12021","delta_simpson",0.666666666666667
"toledo","scrub","hyper","182022_12021","delta_abundancia",2
"toledo","scrub","hyper","302022_12021","delta_riqueza",-1
"toledo","scrub","hyper","302022_12021","delta_shannon",-1
"toledo","scrub","hyper","302022_12021","delta_simpson",-1
"toledo","scrub","hyper","302022_12021","delta_abundancia",-1
"toledo","scrub","hyper","312022_12021","delta_riqueza",1
"toledo","scrub","hyper","312022_12021","delta_shannon",0.60049000598966
"toledo","scrub","hyper","312022_12021","delta_simpson",0.333333333333333
"toledo","scrub","hyper","312022_12021","delta_abundancia",5
"toledo","scrub","hyper","122022_112021","delta_riqueza",1
"toledo","scrub","hyper","122022_112021","delta_shannon",1
"toledo","scrub","hyper","122022_112021","delta_simpson",1
"toledo","scrub","hyper","122022_112021","delta_abundancia",1
"toledo","scrub","hyper","172022_112021","delta_riqueza",1
"toledo","scrub","hyper","172022_112021","delta_shannon",1
"toledo","scrub","hyper","172022_112021","delta_simpson",1
"toledo","scrub","hyper","172022_112021","delta_abundancia",1
"toledo","scrub","hyper","182022_112021","delta_riqueza",2
"toledo","scrub","hyper","182022_112021","delta_shannon",1.82842712474619
"toledo","scrub","hyper","182022_112021","delta_simpson",1.66666666666667
"toledo","scrub","hyper","182022_112021","delta_abundancia",3
"toledo","scrub","hyper","302022_112021","delta_riqueza",0
"toledo","scrub","hyper","302022_112021","delta_shannon",0
"toledo","scrub","hyper","302022_112021","delta_simpson",0
"toledo","scrub","hyper","302022_112021","delta_abundancia",0
"toledo","scrub","hyper","312022_112021","delta_riqueza",2
"toledo","scrub","hyper","312022_112021","delta_shannon",1.60049000598966
"toledo","scrub","hyper","312022_112021","delta_simpson",1.33333333333333
"toledo","scrub","hyper","312022_112021","delta_abundancia",6
"toledo","forest","control","212022_42021","delta_braycurtis",0.379310344827586
"toledo","forest","control","212022_62021","delta_braycurtis",0.333333333333333
"toledo","forest","control","332022_42021","delta_braycurtis",0.387096774193548
"toledo","forest","control","332022_62021","delta_braycurtis",0.423076923076923
"toledo","forest","high","202022_22021","delta_braycurtis",0.409090909090909
"toledo","forest","high","292022_22021","delta_braycurtis",0.529411764705882
"toledo","forest","high","202022_92021","delta_braycurtis",0.542857142857143
"toledo","forest","high","292022_92021","delta_braycurtis",0.666666666666667
"toledo","forest","hyper","192022_12021","delta_braycurtis",0.5
"toledo","forest","hyper","322022_12021","delta_braycurtis",0.84
"toledo","forest","hyper","192022_112021","delta_braycurtis",0.529411764705882
"toledo","forest","hyper","322022_112021","delta_braycurtis",0.692307692307692
"toledo","scrub","control","142022_52021","delta_braycurtis",0.666666666666667
"toledo","scrub","control","142022_72021","delta_braycurtis",0.714285714285714
"toledo","scrub","control","142022_82021","delta_braycurtis",1
"toledo","scrub","control","162022_52021","delta_braycurtis",1
"toledo","scrub","control","162022_72021","delta_braycurtis",0.555555555555556
"toledo","scrub","control","162022_82021","delta_braycurtis",0.777777777777778
"toledo","scrub","control","222022_52021","delta_braycurtis",0.714285714285714
"toledo","scrub","control","222022_72021","delta_braycurtis",0.75
"toledo","scrub","control","222022_82021","delta_braycurtis",0.25
"toledo","scrub","control","232022_52021","delta_braycurtis",0.777777777777778
"toledo","scrub","control","232022_72021","delta_braycurtis",0.8
"toledo","scrub","control","232022_82021","delta_braycurtis",0.8
"toledo","scrub","control","362022_52021","delta_braycurtis",0.6
"toledo","scrub","control","362022_72021","delta_braycurtis",0.818181818181818
"toledo","scrub","control","362022_82021","delta_braycurtis",0.818181818181818
"toledo","scrub","high","132022_32021","delta_braycurtis",0.666666666666667
"toledo","scrub","high","242022_32021","delta_braycurtis",1
"toledo","scrub","high","252022_32021","delta_braycurtis",0.6
"toledo","scrub","high","262022_32021","delta_braycurtis",0.6
"toledo","scrub","high","282022_32021","delta_braycurtis",0.666666666666667
"toledo","scrub","high","352022_32021","delta_braycurtis",0.666666666666667
"toledo","scrub","hyper","122022_12021","delta_braycurtis",1
"toledo","scrub","hyper","172022_12021","delta_braycurtis",0.5
"toledo","scrub","hyper","182022_12021","delta_braycurtis",1
"toledo","scrub","hyper","302022_12021","delta_braycurtis",1
"toledo","scrub","hyper","312022_12021","delta_braycurtis",0.555555555555556
"toledo","scrub","hyper","122022_112021","delta_braycurtis",0.333333333333333
"toledo","scrub","hyper","172022_112021","delta_braycurtis",1
"toledo","scrub","hyper","182022_112021","delta_braycurtis",0.6
"toledo","scrub","hyper","302022_112021","delta_braycurtis",1
"toledo","scrub","hyper","312022_112021","delta_braycurtis",1
