"site","habitat","treatment","sampling_unit","indice","valor"
"toledo","scrub","control","T65_scrub","delta_abundancia_Herbs",0.492118265234099
"toledo","scrub","control","T65_scrub","delta_abundancia_Woody_sps",-5.371637518626
"toledo","scrub","high","T56_scrub","delta_abundancia_Bare_ground",-12.1053972413291
"toledo","scrub","high","T56_scrub","delta_abundancia_Woody_dead_material",7.13629581104197
"toledo","scrub","high","T56_scrub","delta_abundancia_Herbs",0
"toledo","scrub","high","T56_scrub","delta_abundancia_Woody_sps",4.9691014302871
"toledo","scrub","high","T57_scrub","delta_abundancia_Bare_ground",8.18301675577632
"toledo","scrub","high","T57_scrub","delta_abundancia_Woody_dead_material",1.93089621276743
"toledo","scrub","high","T57_scrub","delta_abundancia_Herbs",-9.68237335961038
"toledo","scrub","high","T57_scrub","delta_abundancia_Woody_sps",-0.431539608933306
"toledo","scrub","high","T58_scrub","delta_abundancia_Bare_ground",4.82666931414488
"toledo","scrub","high","T58_scrub","delta_abundancia_Woody_dead_material",-1.28667440766272
"toledo","scrub","high","T58_scrub","delta_abundancia_Herbs",-0.7449054030138
"toledo","scrub","high","T58_scrub","delta_abundancia_Woody_sps",-2.79508950346829
"toledo","scrub","high","T59_scrub","delta_abundancia_Bare_ground",1.1616891858204
"toledo","scrub","high","T59_scrub","delta_abundancia_Woody_dead_material",2.78655830881987
"toledo","scrub","high","T59_scrub","delta_abundancia_Herbs",-7.7242359276063
"toledo","scrub","high","T59_scrub","delta_abundancia_Woody_sps",3.775988432966
"toledo","scrub","high","T60_scrub","delta_abundancia_Bare_ground",6.8442324225751
"toledo","scrub","high","T60_scrub","delta_abundancia_Woody_dead_material",-1.65386887182516
"toledo","scrub","high","T60_scrub","delta_abundancia_Herbs",-7.73009538219686
"toledo","scrub","high","T60_scrub","delta_abundancia_Woody_sps",2.539731831447
"toledo","scrub","hyper","T21_scrub","delta_abundancia_Bare_ground",2.1179970275316
"toledo","scrub","hyper","T21_scrub","delta_abundancia_Woody_dead_material",-1.56043263915321
"toledo","scrub","hyper","T21_scrub","delta_abundancia_Herbs",0
"toledo","scrub","hyper","T21_scrub","delta_abundancia_Woody_sps",-0.557564388378395
"toledo","scrub","hyper","T22_scrub","delta_abundancia_Bare_ground",-2.240890071661
"toledo","scrub","hyper","T22_scrub","delta_abundancia_Woody_dead_material",-0.4629911666159
"toledo","scrub","hyper","T22_scrub","delta_abundancia_Herbs",0.300751879699248
"toledo","scrub","hyper","T22_scrub","delta_abundancia_Woody_sps",2.4031293585777
"toledo","scrub","hyper","T23_scrub","delta_abundancia_Bare_ground",3.9895007484119
"toledo","scrub","hyper","T23_scrub","delta_abundancia_Woody_dead_material",3.17600570082146
"toledo","scrub","hyper","T23_scrub","delta_abundancia_Herbs",-0.644028103044497
"toledo","scrub","hyper","T23_scrub","delta_abundancia_Woody_sps",-6.5214783461888
"toledo","scrub","hyper","T24_scrub","delta_abundancia_Bare_ground",1.91457355524262
"toledo","scrub","hyper","T24_scrub","delta_abundancia_Woody_dead_material",7.72582050537322
"toledo","scrub","hyper","T24_scrub","delta_abundancia_Herbs",2.29451060121987
"toledo","scrub","hyper","T24_scrub","delta_abundancia_Woody_sps",-11.9349046618357
"toledo","scrub","hyper","T25_scrub","delta_abundancia_Bare_ground",-1.7875176415242
"toledo","scrub","hyper","T25_scrub","delta_abundancia_Woody_dead_material",8.97004861220008
"toledo","scrub","hyper","T25_scrub","delta_abundancia_Herbs",0
"toledo","scrub","hyper","T25_scrub","delta_abundancia_Woody_sps",-7.18253097067591
"toledo","forest","control","T10_forest","delta_braycurtis_landscape_composition",0.386298342019567
"toledo","forest","control","T6_forest","delta_braycurtis_landscape_composition",0.313707533740005
"toledo","forest","control","T7_forest","delta_braycurtis_landscape_composition",0.185134744947064
"toledo","forest","control","T8_forest","delta_braycurtis_landscape_composition",0.063623188405797
"toledo","forest","control","T9_forest","delta_braycurtis_landscape_composition",0.148007519618773
"toledo","forest","high","T11_forest","delta_braycurtis_landscape_composition",0.0380813953488368
"toledo","forest","high","T12_forest","delta_braycurtis_landscape_composition",0.591245791245791
"toledo","forest","high","T13_forest","delta_braycurtis_landscape_composition",0.576098323387326
"toledo","forest","high","T14_forest","delta_braycurtis_landscape_composition",0.44110599078341
"toledo","forest","high","T15_forest","delta_braycurtis_landscape_composition",0.408852459887789
"toledo","forest","hyper","T16_forest","delta_braycurtis_landscape_composition",0.0894568690095853
"toledo","forest","hyper","T17_forest","delta_braycurtis_landscape_composition",0.167842691151377
"toledo","forest","hyper","T19_forest","delta_braycurtis_landscape_composition",0.0602503610659128
"toledo","forest","hyper","T20_forest","delta_braycurtis_landscape_composition",0.100066358762011
"toledo","forest","hyper","T66_forest","delta_braycurtis_landscape_composition",0.288158229906374
"toledo","scrub","control","T51_scrub","delta_braycurtis_landscape_composition",0.0733709501274119
"toledo","scrub","control","T52_scrub","delta_braycurtis_landscape_composition",0.00254995511912538
"toledo","scrub","control","T53_scrub","delta_braycurtis_landscape_composition",0.111212013741863
"toledo","scrub","control","T64_scrub","delta_braycurtis_landscape_composition",0.0976089933805068
"toledo","scrub","control","T65_scrub","delta_braycurtis_landscape_composition",0.0537163751862599
"toledo","scrub","high","T56_scrub","delta_braycurtis_landscape_composition",0.121053972413291
"toledo","scrub","high","T57_scrub","delta_braycurtis_landscape_composition",0.101139129685437
"toledo","scrub","high","T58_scrub","delta_braycurtis_landscape_composition",0.0482666931414484
"toledo","scrub","high","T59_scrub","delta_braycurtis_landscape_composition",0.0772423592760628
"toledo","scrub","high","T60_scrub","delta_braycurtis_landscape_composition",0.0938396425402206
"toledo","scrub","hyper","T21_scrub","delta_braycurtis_landscape_composition",0.021179970275316
"toledo","scrub","hyper","T22_scrub","delta_braycurtis_landscape_composition",0.0270388123827693
"toledo","scrub","hyper","T23_scrub","delta_braycurtis_landscape_composition",0.0716550644923333
"toledo","scrub","hyper","T24_scrub","delta_braycurtis_landscape_composition",0.119349046618357
"toledo","scrub","hyper","T25_scrub","delta_braycurtis_landscape_composition",0.0897004861220009
