"site","habitat","treatment","sampling_unit","indice","valor"
"toledo",NA,"high","T14_P2","delta_simpson",1.4645164645819
"toledo",NA,"high","T14_P3","delta_abundancia",70
"toledo",NA,"high","T14_P3","delta_riqueza",9
"toledo",NA,"high","T14_P3","delta_shannon",0.426705952941372
"toledo",NA,"high","T14_P3","delta_simpson",-0.491441717050161
"toledo",NA,"high","T98_P1","delta_abundancia",-58
"toledo",NA,"high","T98_P1","delta_riqueza",3
"toledo",NA,"high","T98_P1","delta_shannon",2.63687170743263
"toledo",NA,"high","T98_P1","delta_simpson",1.65000622646145
"toledo",NA,"high","T98_P10","delta_abundancia",28
"toledo",NA,"high","T98_P10","delta_riqueza",0
"toledo",NA,"high","T98_P10","delta_shannon",-1.66074828606376
"toledo",NA,"high","T98_P10","delta_simpson",-1.42257068187218
"toledo",NA,"high","T98_P11","delta_abundancia",-1
"toledo",NA,"high","T98_P11","delta_riqueza",-4
"toledo",NA,"high","T98_P11","delta_shannon",1.13066215018563
"toledo",NA,"high","T98_P11","delta_simpson",1.23606541323619
"toledo",NA,"high","T98_P12","delta_abundancia",24
"toledo",NA,"high","T98_P12","delta_riqueza",2
"toledo",NA,"high","T98_P12","delta_shannon",1.07559508020504
"toledo",NA,"high","T98_P12","delta_simpson",0.980640623232666
"toledo",NA,"high","T98_P2","delta_abundancia",27
"toledo",NA,"high","T98_P2","delta_riqueza",1
"toledo",NA,"high","T98_P2","delta_shannon",-0.935858526401799
"toledo",NA,"high","T98_P2","delta_simpson",-1.05574361949605
"toledo",NA,"high","T98_P3","delta_abundancia",-56
"toledo",NA,"high","T98_P3","delta_riqueza",-2
"toledo",NA,"high","T98_P3","delta_shannon",0.0402315422324921
"toledo",NA,"high","T98_P3","delta_simpson",0.0999663319783539
"toledo",NA,"high","T98_P4","delta_abundancia",-15
"toledo",NA,"high","T98_P4","delta_riqueza",-2
"toledo",NA,"high","T98_P4","delta_shannon",-0.0351777898347816
"toledo",NA,"high","T98_P4","delta_simpson",0.136525774172164
"toledo",NA,"high","T98_P5","delta_abundancia",-5
"toledo",NA,"high","T98_P5","delta_riqueza",0
"toledo",NA,"high","T98_P5","delta_shannon",-1.41510723779313
"toledo",NA,"high","T98_P5","delta_simpson",-1.34541971278373
"toledo",NA,"high","T98_P6","delta_abundancia",11
"toledo",NA,"high","T98_P6","delta_riqueza",0
"toledo",NA,"high","T98_P6","delta_shannon",-0.228704483073221
"toledo",NA,"high","T98_P6","delta_simpson",-0.673032639044577
"toledo",NA,"high","T98_P7","delta_abundancia",-65
"toledo",NA,"high","T98_P7","delta_riqueza",0
"toledo",NA,"high","T98_P7","delta_shannon",2.15988724851747
"toledo",NA,"high","T98_P7","delta_simpson",1.15790179319591
"toledo",NA,"high","T98_P8","delta_abundancia",459
"toledo",NA,"high","T98_P8","delta_riqueza",4
"toledo",NA,"high","T98_P8","delta_shannon",-1.72841979378219
"toledo",NA,"high","T98_P8","delta_simpson",-1.23703705583294
"toledo",NA,"high","T98_P9","delta_abundancia",-19
"toledo",NA,"high","T98_P9","delta_riqueza",3
"toledo",NA,"high","T98_P9","delta_shannon",1.16414114588742
"toledo",NA,"high","T98_P9","delta_simpson",0.649340527942216
